index,instructor
197,Jill Korbin
198,Janet Mc Grath
199,Lee Hoffer
200,Yohannes Ambaye
201,Lihong Shi
202,Cynthia Beall
203,Atwood Gaines
204,Melvyn Goldstein
205,Lawrence Greksa
206,Jill Korbin
207,Janet Mc Grath
208,Lee Hoffer
209,Lihong Shi
210,Ramez Islambouli
211,Ramez Islambouli
212,Ramez Islambouli
213,Ramez Islambouli
214,Ramez Islambouli
215,Lilas Al Dakr
216,Ramez Islambouli
217,Maggie Popkin
218,Maggie Popkin
219,Maggie Popkin
220,Eunyoung Park
221,Catherine Scallen
222,Elizabeth Bolman
223,Maggie Popkin
224,Elina Gertsman
225,Catherine Scallen
226,Erin Benay
227,Andrea Rager
228,Eunyoung Park
229,Henry Adams
230,Erin Benay
231,Maggie Popkin
232,Elizabeth Bolman
233,Elina Gertsman
234,Catherine Scallen
235,Andrea Rager
236,Elina Gertsman
237,Henry Adams
238,Erin Benay
239,Elizabeth Bolman
240,Andrea Rager
241,Maggie Popkin
242,Catherine Scallen
243,Elizabeth Bolman
244,Maggie Popkin
245,Elina Gertsman
246,Catherine Scallen
247,Erin Benay
248,Henry Adams
249,Erin Benay
250,Elizabeth Bolman
251,Maggie Popkin
252,Andrea Rager
253,Catherine Scallen
254,Elizabeth Bolman
255,Elina Gertsman
256,Holly Witchey
257,Holly Witchey
258,Holly Witchey
259,Staff
260,Maggie Popkin
261,Elina Gertsman
262,Elizabeth Bolman
263,Catherine Scallen
264,Erin Benay
265,Henry Adams
266,Andrea Rager
267,Elina Gertsman
268,Eunyoung Park
269,Henry Adams
270,Andrea Rager
271,Henry Adams
272,Elina Gertsman
273,Erin Benay
274,Elizabeth Bolman
275,Maggie Popkin
276,Catherine Scallen
277,Elina Gertsman
278,Staff
279,Henry Adams
280,Erin Benay
281,Maggie Popkin
282,Andrea Rager
283,Catherine Scallen
284,Elizabeth Bolman
285,Henry Adams
286,Maggie Popkin
287,Catherine Scallen
288,Erin Benay
289,Andrea Rager
290,Elizabeth Bolman
291,Elina Gertsman
292,George Kozmon
293,George Kozmon
294,David King
295,George Kozmon
296,George Kozmon
297,David King
298,Margaret Fischer
299,Margaret Fischer
300,Adriel Meyer
301,Martha Lois
302,Martha Lois
303,Tim Shuckerow
304,Jerry Birchfield
305,Jerry Birchfield
306,Jerry Birchfield
307,Tim Shuckerow
308,Sandra Noble
309,Sally Levine
310,Margaret Fischer
311,Margaret Fischer
312,Adriel Meyer
313,Martha Lois
314,Martha Lois
315,Tim Shuckerow
316,Lori Kella
317,Barney Taxel
318,Jerry Birchfield
319,George Kozmon
320,George Kozmon
321,Margaret Fischer
322,Lori Kella
323,Martha Lois
324,Martha Lois
325,Sandra Noble
326,Sandra Noble
327,Sandra Noble
328,Tim Shuckerow
329,Martha Lois
330,Tim Shuckerow
331,Jerry Birchfield
332,Tim Shuckerow
333,Sally Levine
334,Staff
335,Tim Shuckerow
336,Margaret Fischer
337,George Kozmon
338,Sandra Noble
339,Sally Levine
340,Tim Shuckerow
341,Tim Shuckerow
342,James Bonk
343,Crystal Myhre
344,Stacy McGaugh
345,Jeffrey Kriessler
346,William Janesh
347,R Luck
348,James Mihos
349,R Luck
350,Stacy McGaugh
351,James Mihos
